experiment_id,fold,iteration,completed_iterations,diagnostic_loss_fixed,diagnostic_elbo_endpoint_relative_change,diagnostic_elbo_relative_range,spatial_lengthscale_x_relative_change_window,spatial_lengthscale_y_relative_change_window,kernel_variance_relative_change_window,temporal_lengthscale_relative_change_window,temporal_trend_absolute_change_window,site_relative_change_since_checkpoint,early_stop_elbo_plateau_pass,early_stop_parameter_stability_pass,early_stop_site_stability_pass,early_stop_convergence_gate_pass,early_stop_consecutive_passes
EARLY-STOP-A01,1,1999,2000,0.1675189148928731,0.0099456542766021,0.013298133720805,0.0296405160851843,0.0279062899472239,0.0117213281643021,0.1321182848743156,0.0243509204911453,0.0760216377624671,False,False,False,False,0
EARLY-STOP-A01,1,2049,2050,0.1674176318832239,0.0138165181912388,0.0139576430363222,0.0231378916303936,0.0317585315001078,0.0088490830412331,0.1257807306347802,0.02811557373456,0.0789555693638221,False,False,False,False,0
EARLY-STOP-A01,1,2099,2100,0.1676767971619575,0.0038642916938865,0.0106474194508087,0.0077168382252514,0.0346366944458476,0.0177844881433259,0.1304904606707622,0.0216315723034212,0.0798541055361132,False,False,False,False,0
EARLY-STOP-A01,1,2149,2150,0.1680454068832763,0.0068439855304906,0.0106474194508087,0.0049078618766387,0.0361440993216536,0.0169313422240624,0.1288351107420299,0.0230717082540817,0.0815347561247536,False,False,False,False,0
EARLY-STOP-A01,1,2199,2200,0.1685149267114465,0.0044632559752348,0.0065423635158819,0.0012254350886796,0.0409110004275549,0.0132847607481352,0.1280498375640764,0.0198526592724563,0.0848434706287822,False,False,False,False,0
EARLY-STOP-A01,1,2249,2250,0.1686603642169157,0.0068138533775272,0.0074033371562419,0.0005194129666194,0.0426736058472387,0.0110825866867495,0.1242507309514708,0.0129990919247187,0.0835450028215031,False,False,False,False,0
EARLY-STOP-A01,1,2299,2300,0.1675068312877927,0.000532795760909,0.0074033371562419,0.0066432662632218,0.0366140356677711,0.0112324545365577,0.123298085826233,0.0111668191068658,0.084546693207973,False,False,False,False,0
EARLY-STOP-A01,1,2349,2350,0.1677795765459959,0.0006129612789484,0.0068698458187575,0.026382049925126,0.0212880080274568,0.0068263009218342,0.1169302316387066,0.0109867921103246,0.0794665532530691,False,False,False,False,0
EARLY-STOP-A01,1,2399,2400,0.1685414041435229,0.0029515668975775,0.0068548359029855,0.0105793305212522,0.038591525278906,0.0040322117889009,0.1120709861005318,0.0142966265281874,0.0819358190471554,False,False,False,False,0
EARLY-STOP-A01,1,2449,2450,0.1666947884434108,0.0108010507054512,0.0116896098774483,0.0142095966440594,0.0357645594231417,0.0006179429607188,0.1082928960850767,0.0114322713383581,0.0821903290040837,False,False,False,False,0
EARLY-STOP-A01,1,2499,2500,0.1674285219019912,0.0073036858460718,0.0117247566711937,0.0129943073251683,0.0309659673668961,0.0072147453302436,0.1096759757039584,0.0127123026973854,0.0850852605935885,False,False,False,False,0
EARLY-STOP-A01,1,2549,2550,0.1676633864771471,0.0009346197295404,0.01101897246376,0.0118543282351804,0.0269728520087681,0.0102648742122633,0.1087706062987853,0.0079202370845479,0.083630327054648,False,False,False,False,0
EARLY-STOP-A01,1,2599,2600,0.1675381635135958,0.0014388701972548,0.0110179424896045,0.0046536522064618,0.0297766582569453,0.014489590008714,0.1123046660953424,0.0168865374044671,0.078968473008178,False,False,False,False,0
EARLY-STOP-A01,1,2649,2650,0.1671743037644234,0.0081113622260754,0.0110256678082543,0.0253824263517084,0.0129230944842699,0.0097061463619986,0.1098905186864777,0.0130112756097627,0.0811385276354539,False,False,False,False,0
EARLY-STOP-A01,1,2699,2700,0.1663195663535895,0.0022509527341862,0.0080323297980593,0.0275738372903889,0.0052774455820527,0.0137632944342722,0.1089342048645756,0.0033392351936433,0.084361471177949,False,False,False,False,0
EARLY-STOP-A01,1,2749,2750,0.1661020579414855,0.0079225686605667,0.0093324288732583,0.0222768000097554,0.0082911364220971,0.0152637982635742,0.108797132725735,0.0088629069725912,0.0842363827792119,False,False,False,False,0
