year,day2_quality_flag,selected_sensors,selected_scene_count,coverage_at_least_1_core_pct,coverage_at_least_3_core_pct,median_observation_count,ndbi_otsu_threshold,valid_area_core_pct,raw_built_cells_core,raw_built_area_ha_core,raw_built_fraction_core,final_built_cells_core,final_built_area_ha_core,final_built_fraction_core,persistence_corrected_cells,persistence_corrected_area_ha,ibui_raw_built_fraction_core,ndbsui_raw_built_fraction_core,ibui_otsu_threshold,ndbsui_otsu_threshold
2014,PASS,LC08,21,99.8879024609548,98.51907045286782,5.0,-0.1210742857640156,99.8879024609337,158290,14229.96868602137,0.4916987484124892,220885,19857.306647606223,0.6861443648194631,62595,5627.337961584856,0.4751578684396512,0.5408870460081514,9.36982827737104e-05,-0.0663992079561394
2015,PASS,LC08,19,99.88790246095478,99.143171973018,7.0,-0.1172139423201719,99.8879024609337,173363,15585.09786492884,0.5385235402239141,224606,20191.82548830631,0.6977032444573505,51242,4606.727623377471,0.5261598441962629,0.5485510005217696,0.0077937293363522,-0.0468752902259157
2016,PASS,LC08,15,98.49202849509756,80.95902108177953,4.0,-0.0859126898813,98.49202849509756,191386,17205.365050285283,0.6029355085860743,235211,21145.218613601195,0.7410016062834984,43824,3939.853563315909,0.5945634087714733,0.5663098592398327,0.0390107378187488,-0.04491340361814
2017,PASS,"LC08,LE07",34,99.85687053124848,95.7399342120403,6.0,-0.0898405463144938,99.85687053124848,183009,16452.224848010974,0.568662692305209,239336,21516.1042378648,0.7436930796203493,56327,5063.879389853827,0.5523274615402267,0.5697356811927778,0.0389836329951775,-0.0468858340522553
2018,PASS,LC08,21,99.88790246093374,99.56178389218312,5.999999999999999,-0.0819718470312336,99.8879024609337,177810,15984.86699541619,0.5523370619154745,240840,21651.34070245658,0.7481349649987766,63030,5666.4737070403935,0.5373907863919346,0.5426885592999627,0.0703217482207459,-0.0390600212774178
2019,PASS,LC08,16,99.47023845908302,87.86942128985301,4.0,-0.078145456459387,99.470238459083,188906,16982.422390681706,0.5892702712096632,243974,21933.01841134931,0.7610501853253887,55067,4950.5960206676045,0.5713761098818647,0.5898421517929906,0.0859131944364352,-0.0468721766875751
2020,PASS,LC08,25,99.88790246093374,99.80679270925536,8.0,-0.042964617584949,99.88790246093372,223052,20052.22591111182,0.6928795558815019,255964,23011.002706675907,0.7951163829126048,32912,2958.7767955640843,0.6822108243660562,0.6263044875491516,0.1171636931936634,-0.0312490172029752
2021,PASS,"LC08,LC09",25,99.88790246093372,99.76767211884722,8.0,-0.0664025731462591,99.88790246095476,193538,17398.792737699572,0.6011934953460047,257230,23124.83654540786,0.799049768660957,63692,5726.0438077082845,0.5862205553975752,0.6153812922888059,0.1015586229028182,-0.0468646109370095
2022,PASS,"LC08,LC09",34,99.88790246093372,99.87362906885257,10.0,-0.0624611263601505,99.88790246093372,207903,18690.24928875871,0.6458181592365504,259123,23295.02043504002,0.8049302598539347,51220,4604.771146281307,0.6403236032693124,0.6247452643218608,0.1015580895112547,-0.0371127526917347
2023,PASS,"LC08,LC09",35,99.88790246093374,99.88790246093374,9.0,-0.0546559265969573,99.88790246095476,211891,19048.7897847814,0.6582070770927614,261816,23537.122020674593,0.8132957769727249,49925,4488.3322358931955,0.6550336322361249,0.6438854918322617,0.125020865268284,-0.0371132011066579
2024,PASS,"LC08,LC09",49,99.88790246093372,99.88790246093372,15.0,-0.0703045044089877,99.8879024609337,200522,18026.658978837742,0.6228886270607475,262559,23603.933863125356,0.8156043765233961,62037,5577.274884287611,0.6173864760868072,0.6244556720822644,0.0859142670246711,-0.035161967889028
2025,PASS,"LC08,LC09",28,99.88448926877086,99.36184513372012,8.0,-0.0742126680631688,99.88448926877086,208945,18783.93343111867,0.649077476583285,265432,23862.208099448413,0.8245568946297523,56487,5078.274668329743,0.6421287150804498,0.6604399003023378,0.0782060772084891,-0.0371099332714425
