year,day2_quality_flag,selected_sensors,selected_scene_count,coverage_at_least_1_core_pct,coverage_at_least_3_core_pct,median_observation_count,ndbi_otsu_threshold,valid_area_core_pct,raw_built_cells_core,raw_built_area_ha_core,raw_built_fraction_core,final_built_cells_core,final_built_area_ha_core,final_built_fraction_core,persistence_corrected_cells,persistence_corrected_area_ha,ibui_raw_built_fraction_core,ndbsui_raw_built_fraction_core,ibui_otsu_threshold,ndbsui_otsu_threshold
2010,LIMITED,LE07,12,92.50138134435834,37.47889406409136,2.0,-0.07032236403193173,92.50138134435835,149654,13453.674178240059,0.5019965580872212,197457,17751.186174804283,0.6623494997470583,47803,4297.5119965642225,0.47790914034402016,0.48306124321242816,0.10156561908007,-0.04298555967106818
2011,PASS,LE07,12,99.881075979366,37.11952998286794,2.0,-0.08592953889986817,99.88107597938706,160748,14450.96312466043,0.49936906209159204,215983,19416.622620538757,0.6709629346751702,55235,4965.659495878332,0.4728776567371001,0.4908027339457604,0.09388020733069463,-0.04101278758357514
2012,LIMITED,LE07,15,82.53556761761133,11.57174476441493,1.0,-0.10942785422386128,82.53556761763238,116127,10439.570363418543,0.43656562380649,178784,16072.46350778174,0.6721239297326885,62657,5632.893144363201,0.4180497736573784,0.47675906923026407,0.0312023518174084,-0.05860492291008392
2013,PASS,LC08,11,99.0815279031655,65.92245162650639,3.0,-0.12888020589941185,99.08152790314443,150487,13528.503116770715,0.47126490907333735,217457,19549.104526222905,0.6809923379915459,66970,6020.601409452191,0.4538107516104497,0.5221432239197855,-0.023463991290257155,-0.06447376714340894
2014,PASS,LC08,21,99.8879024609548,98.51907045286782,5.0,-0.1210742857640156,99.8879024609337,158290,14229.96868602137,0.49169874841248923,220885,19857.306647606223,0.6861443648194631,62595,5627.337961584856,0.4751578684396512,0.5408870460081514,9.36982827737104e-05,-0.0663992079561394
2015,PASS,LC08,19,99.88790246095478,99.143171973018,7.0,-0.11721394232017193,99.8879024609337,173363,15585.097864928839,0.5385235402239141,224606,20191.82548830631,0.6977032444573505,51242,4606.727623377471,0.5261598441962629,0.5485510005217696,0.007793729336352206,-0.046875290225915786
2016,PASS,LC08,15,98.49202849509756,80.95902108177953,4.0,-0.0859126898813,98.49202849509757,191386,17205.365050285283,0.6029355085860743,235211,21145.218613601195,0.7410016062834984,43824,3939.8535633159086,0.5945634087714733,0.5663098592398327,0.039010737818748836,-0.04491340361814007
2017,PASS,"LC08,LE07",34,99.85687053124848,95.7399342120403,6.0,-0.08984054631449388,99.85687053124848,183009,16452.224848010974,0.568662692305209,239336,21516.104237864798,0.7436930796203493,56327,5063.879389853827,0.5523274615402267,0.5697356811927778,0.038983632995177556,-0.046885834052255354
2018,PASS,LC08,21,99.88790246093374,99.56178389218312,5.999999999999999,-0.0819718470312336,99.8879024609337,177810,15984.86699541619,0.5523370619154745,240840,21651.34070245658,0.7481349649987766,63030,5666.4737070403935,0.5373907863919346,0.5426885592999627,0.07032174822074597,-0.03906002127741781
2019,PASS,LC08,16,99.47023845908302,87.86942128985301,4.0,-0.07814545645938709,99.470238459083,188906,16982.422390681706,0.5892702712096632,243974,21933.01841134931,0.7610501853253887,55067,4950.5960206676045,0.5713761098818647,0.5898421517929906,0.08591319443643522,-0.04687217668757519
2020,PASS,LC08,25,99.88790246093374,99.80679270925536,8.0,-0.04296461758494903,99.88790246093373,223052,20052.22591111182,0.6928795558815019,255964,23011.002706675907,0.7951163829126048,32912,2958.7767955640843,0.6822108243660562,0.6263044875491516,0.11716369319366349,-0.031249017202975283
2021,PASS,"LC08,LC09",25,99.88790246093372,99.76767211884722,8.0,-0.06640257314625914,99.88790246095476,193538,17398.792737699572,0.6011934953460047,257230,23124.83654540786,0.799049768660957,63692,5726.0438077082845,0.5862205553975752,0.6153812922888059,0.10155862290281822,-0.046864610937009596
2022,PASS,"LC08,LC09",34,99.88790246093372,99.87362906885257,10.0,-0.06246112636015052,99.88790246093373,207903,18690.249288758714,0.6458181592365504,259123,23295.02043504002,0.8049302598539347,51220,4604.771146281307,0.6403236032693124,0.6247452643218608,0.10155808951125475,-0.03711275269173475
2023,PASS,"LC08,LC09",35,99.88790246093374,99.88790246093374,9.0,-0.054655926596957345,99.88790246095476,211891,19048.7897847814,0.6582070770927614,261816,23537.122020674593,0.8132957769727249,49925,4488.3322358931955,0.6550336322361249,0.6438854918322617,0.12502086526828404,-0.03711320110665798
2024,PASS,"LC08,LC09",49,99.88790246093372,99.88790246093372,15.0,-0.07030450440898775,99.8879024609337,200522,18026.658978837746,0.6228886270607475,262559,23603.933863125356,0.8156043765233961,62037,5577.274884287611,0.6173864760868072,0.6244556720822644,0.08591426702467116,-0.035161967889028076
2025,PASS,"LC08,LC09",28,99.88448926877086,99.36184513372012,8.0,-0.0742126680631688,99.88448926877086,208945,18783.93343111867,0.649077476583285,265432,23862.208099448413,0.8245568946297523,56487,5078.274668329743,0.6421287150804498,0.6604399003023378,0.0782060772084891,-0.03710993327144256
