bin,cell_count,mean_predicted_probability,observed_conversion_rate,absolute_calibration_gap,model,fold
6,12770,0.1326111811648788,0.4792482380579483,0.3466370568930695,logistic_regression,3
7,12771,0.21786603261455473,0.5375460026622817,0.31967997004772697,logistic_regression,3
8,12770,0.3304296641547063,0.6228660924040721,0.2924364282493658,logistic_regression,3
9,12771,0.48691119831760793,0.7798919426826404,0.29298074436503246,logistic_regression,3
0,16895,0.08577722240031012,0.007694584196507843,0.07808263820380228,svgp_strong,1
1,16894,0.10879837339222466,0.01100982597371848,0.09778854741850618,svgp_strong,1
2,16895,0.12891673923429564,0.022846996152707903,0.10606974308158773,svgp_strong,1
3,16894,0.1564033253543318,0.041553214158872975,0.11485011119545882,svgp_strong,1
4,16895,0.20084707829136578,0.09843148860609648,0.1024155896852693,svgp_strong,1
5,16894,0.2719046281650883,0.1350183497099562,0.13688627845513213,svgp_strong,1
6,16894,0.3626572936032388,0.2078252634071268,0.154832030196112,svgp_strong,1
7,16895,0.46589865840268085,0.31731281444214265,0.1485858439605382,svgp_strong,1
8,16894,0.5770468883180218,0.477210844086658,0.09983604423136377,svgp_strong,1
9,16895,0.7042354991888288,0.6802012429712933,0.02403425621753552,svgp_strong,1
0,14020,0.07479409192836234,0.009771754636233951,0.06502233729212839,svgp_strong,2
1,14019,0.10716307112430658,0.008702475212211997,0.09846059591209458,svgp_strong,2
2,14019,0.14007393483581926,0.01091375989728226,0.129160174938537,svgp_strong,2
3,14020,0.18415567229970886,0.019686162624821684,0.1644695096748872,svgp_strong,2
4,14019,0.2414876076915191,0.030173336186603894,0.21131427150491522,svgp_strong,2
5,14019,0.3161705645972205,0.0496469077680291,0.2665236568291914,svgp_strong,2
6,14020,0.41221212097437,0.08537803138373752,0.3268340895906325,svgp_strong,2
7,14019,0.5231214209628927,0.1428061915971182,0.38031522936577455,svgp_strong,2
8,14019,0.6420872631439665,0.2333975319209644,0.40868973122300206,svgp_strong,2
9,14020,0.7645684387859026,0.437660485021398,0.32690795376450466,svgp_strong,2
0,12771,0.04260021808894344,0.09584214235377025,0.053241924264826816,svgp_strong,3
1,12771,0.057555121535709665,0.10743089812857255,0.04987577659286289,svgp_strong,3
2,12770,0.0722336084234033,0.1350822239624119,0.0628486155390086,svgp_strong,3
3,12771,0.09173173558020328,0.16529637459870017,0.07356463901849689,svgp_strong,3
4,12770,0.1180021037977005,0.26703210649960846,0.14903000270190797,svgp_strong,3
5,12772,0.15428246763052703,0.3931255872220482,0.23884311959152119,svgp_strong,3
6,12769,0.2028143783712249,0.4792857702247631,0.2764713918535382,svgp_strong,3
7,12771,0.2663676210973511,0.5359016521807219,0.2695340310833708,svgp_strong,3
8,12770,0.33974463685751893,0.5884103367267032,0.24866569986918424,svgp_strong,3
9,12771,0.4354687200418869,0.7149009474590869,0.27943222741720003,svgp_strong,3
0,16895,0.007514687653539199,0.0064516129032258064,0.0010630747503133928,st_svgp,1
1,16894,0.01746725124213927,0.008405351012193679,0.009061900229945592,st_svgp,1
2,16895,0.031068021452774573,0.017875110979579757,0.013192910473194815,st_svgp,1
3,16894,0.054047398298203916,0.03445010062744169,0.019597297670762223,st_svgp,1
4,16895,0.09416073601900606,0.065818289434744,0.02834244658426205,st_svgp,1
5,16894,0.16194468463141967,0.127856043565763,0.03408864106565668,st_svgp,1
6,16894,0.26764608088586633,0.22327453533798983,0.044371545547876506,st_svgp,1
7,16895,0.40626341705763613,0.33483279076649897,0.07143062629113717,st_svgp,1
8,16894,0.5644978939317336,0.4843731502308512,0.08012474370088235,st_svgp,1
9,16895,0.7395033904082442,0.6957679786919206,0.04373541171632356,st_svgp,1
0,14020,0.07630891354463047,0.00912981455064194,0.06717909899398854,st_svgp,2
1,14019,0.13135976145413186,0.008773806976246523,0.12258595447788534,st_svgp,2
2,14019,0.1908711572757847,0.013981025750766816,0.17689013152501787,st_svgp,2
3,14020,0.2637890796030446,0.01868758915834522,0.24510149044469937,st_svgp,2
4,14019,0.3521568364717651,0.033953919680433695,0.3182029167913314,st_svgp,2
5,14019,0.45388168537899715,0.04936158071189101,0.40452010466710614,st_svgp,2
6,14020,0.5643489784619844,0.08787446504992867,0.4764745134120557,st_svgp,2
7,14019,0.6743233811877104,0.13995292103573723,0.5343704601519732,st_svgp,2
8,14019,0.7763007605567277,0.23739211070689778,0.5389086498498299,st_svgp,2
9,14020,0.8678339123090294,0.4290299572039943,0.4388039551050351,st_svgp,2
0,12771,0.030358219267546706,0.04361443896327617,0.013256219695729467,st_svgp,3
1,12771,0.049920412310600557,0.08354866494401378,0.03362825263341322,st_svgp,3
2,12770,0.07409443873777365,0.14776820673453406,0.07367376799676041,st_svgp,3
3,12771,0.10861299988376237,0.21713256596977526,0.10851956608601289,st_svgp,3
4,12770,0.15724219830320665,0.2894283476898982,0.13218614938669157,st_svgp,3
5,12771,0.21892527190299607,0.3659854357528776,0.14706016384988155,st_svgp,3
6,12770,0.29194406144101737,0.4267815191855912,0.13483745774457384,st_svgp,3
7,12771,0.379212734572063,0.5042674810116671,0.12505474643960407,st_svgp,3
8,12770,0.4867051827351102,0.6163664839467502,0.12966130121164,st_svgp,3
9,12771,0.6325710505944792,0.7874089734554851,0.15483792286100595,st_svgp,3
