task_id,state,description,asset_id,product_type,epoch,selected_scene_count,selected_scene_ids_sha256,error_message
S6R2NVIBJSXW5BGRLGN3BEXZ,COMPLETED,sprawlgp_annual_composite_2016,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2016,landsat_composite,2016,15,ff246b2363e7284732de482d509dc2271eeee627c2aeb72ac03cff2f8e54d159,
CHNDAWL7L27MIBLF2JXXBFLS,COMPLETED,sprawlgp_annual_valid_count_2016,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2016,landsat_valid_count,2016,15,ff246b2363e7284732de482d509dc2271eeee627c2aeb72ac03cff2f8e54d159,
U2YUYXXEJ4B6EEF43ZJ55TKT,COMPLETED,sprawlgp_annual_composite_2017,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2017,landsat_composite,2017,34,0d5412666c5fce2dd40114aef7ae2887019e93bed2f16f2453555db77ebe7d7d,
XCXQCYQ5RARKFONTTMAPKPAA,COMPLETED,sprawlgp_annual_valid_count_2017,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2017,landsat_valid_count,2017,34,0d5412666c5fce2dd40114aef7ae2887019e93bed2f16f2453555db77ebe7d7d,
PS5EAYRTDRM5IM5RC7IFIECB,COMPLETED,sprawlgp_annual_composite_2018,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2018,landsat_composite,2018,21,e0ea70fbd273ce91b2ced96b8f6ab32b65fc4e5545326c3dd95871d0a949a7a8,
TVV5EFLEHUPUUSW3W4OOUEMU,COMPLETED,sprawlgp_annual_valid_count_2018,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2018,landsat_valid_count,2018,21,e0ea70fbd273ce91b2ced96b8f6ab32b65fc4e5545326c3dd95871d0a949a7a8,
CKZE6Z3XV27J3EXVCLURBXGI,COMPLETED,sprawlgp_annual_composite_2019,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2019,landsat_composite,2019,16,57e9c709d92989fc154b21aecf8a04329fd9851cccd8f1cec4693681b2bc72ca,
RXT3V7E5RHBWKO7XJMOIO26X,COMPLETED,sprawlgp_annual_valid_count_2019,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2019,landsat_valid_count,2019,16,57e9c709d92989fc154b21aecf8a04329fd9851cccd8f1cec4693681b2bc72ca,
CEEBC2XBJHIKEQYBAHPWODEL,COMPLETED,sprawlgp_annual_composite_2020,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2020,landsat_composite,2020,25,ab59038ffcaef078ab5893c626f7892a070e406096bb516077fe62a75881dd80,
C3EKGG75WH2SZK3EIXLC5NVH,COMPLETED,sprawlgp_annual_valid_count_2020,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2020,landsat_valid_count,2020,25,ab59038ffcaef078ab5893c626f7892a070e406096bb516077fe62a75881dd80,
QZXR33UZOM5MWKXKS3ODQYBT,COMPLETED,sprawlgp_annual_composite_2021,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2021,landsat_composite,2021,25,c538ffd7e0c439605b8afe78185d5fc06aacfe32a782f386e135f9e437b46596,
F5FGVL3ZYJRW7IYL4WRCHAX5,COMPLETED,sprawlgp_annual_valid_count_2021,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2021,landsat_valid_count,2021,25,c538ffd7e0c439605b8afe78185d5fc06aacfe32a782f386e135f9e437b46596,
GW34E6VU2P5OG2UOJNDNFJGT,COMPLETED,sprawlgp_annual_composite_2022,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2022,landsat_composite,2022,34,446966a3a9572aa30e35b1bc0132ddae0f2ca6e7d572b9e0314b386b6e8bca01,
M4PCBRJWPH66DVCBU6DEVGH7,COMPLETED,sprawlgp_annual_valid_count_2022,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2022,landsat_valid_count,2022,34,446966a3a9572aa30e35b1bc0132ddae0f2ca6e7d572b9e0314b386b6e8bca01,
TX76ROJUZVTNVNOR5L322FTF,COMPLETED,sprawlgp_annual_composite_2023,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2023,landsat_composite,2023,35,9fc03a1faccc543995f5269f421f2f6770d887db46acb5032a5eee8166b45146,
CNTVVMYCRQ5WNH4QKFBKGH5C,COMPLETED,sprawlgp_annual_valid_count_2023,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2023,landsat_valid_count,2023,35,9fc03a1faccc543995f5269f421f2f6770d887db46acb5032a5eee8166b45146,
JWY7E36M4AD26PHZL25FLFYA,COMPLETED,sprawlgp_annual_composite_2024,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2024,landsat_composite,2024,49,af240b4de412b91b9a420512655df1200edd00cfe756635b161ed16e679cc53c,
PU6VU2CNXCZAAHVQ3HX3OU2C,COMPLETED,sprawlgp_annual_valid_count_2024,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2024,landsat_valid_count,2024,49,af240b4de412b91b9a420512655df1200edd00cfe756635b161ed16e679cc53c,
TZWHZ4LCRNZ24PLJBP2XCNPP,COMPLETED,sprawlgp_annual_composite_2025,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2025,landsat_composite,2025,28,01726c010e5a4c63f7bf68fca3547eb5384857f77c2ed6a12e45df5a2b9385c7,
3QLGTZYMQWG2BUJ4GU5GUULO,COMPLETED,sprawlgp_annual_valid_count_2025,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2025,landsat_valid_count,2025,28,01726c010e5a4c63f7bf68fca3547eb5384857f77c2ed6a12e45df5a2b9385c7,
