acquisition_date,acquisition_month,acquisition_year,candidate_for_composite,cloud_cover_land_pct,cloud_cover_scene_pct,collection_id,day_of_year,earth_engine_asset_id,epoch,has_positive_core_coverage,landsat7_orbit_drift_period,landsat_product_id,landsat_scene_id,relative_year,sensor_key,sensor_role,slc_off,system_index,valid_area_context_m2,valid_area_core_m2,valid_fraction_context,valid_fraction_core,wrs_path,wrs_row,selected_window_name,selected_sensor_mode,selection_status
2015-05-04,5,2015,True,2.48,2.48,LANDSAT/LC08/C02/T1_L2,124,LANDSAT/LC08/C02/T1_L2/LC08_185057_20150504,2015,True,False,LC08_L2SP_185057_20150504_20200909_02_T1,LC81850572015124LGN02,0,LC08,primary,False,LC08_185057_20150504,647894996.301926,258819355.45274255,0.8183514564384742,0.8933153636877321,185,57,Mar-May_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2015-05-04,5,2015,True,21.49,21.49,LANDSAT/LC08/C02/T1_L2,124,LANDSAT/LC08/C02/T1_L2/LC08_185058_20150504,2015,True,False,LC08_L2SP_185058_20150504_20200909_02_T1,LC81850582015124LGN02,0,LC08,primary,False,LC08_185058_20150504,318199453.4282535,117962449.31919213,0.4019154147466033,0.4071475571474813,185,58,Mar-May_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2015-05-12,5,2015,True,75.0,75.0,LANDSAT/LE07/C02/T1_L2,132,LANDSAT/LE07/C02/T1_L2/LE07_185057_20150512,2015,True,False,LE07_L2SP_185057_20150512_20200905_02_T1,LE71850572015132ASN02,0,LE07,supplemental,True,LE07_185057_20150512,172159430.44814694,56870751.96961958,0.2174533241513173,0.1962894791622787,185,57,Mar-May_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2015-05-12,5,2015,True,54.0,54.0,LANDSAT/LE07/C02/T1_L2,132,LANDSAT/LE07/C02/T1_L2/LE07_185058_20150512,2015,True,False,LE07_L2SP_185058_20150512_20200905_02_T1,LE71850582015132ASN01,0,LE07,supplemental,True,LE07_185058_20150512,30351059.280266497,5509236.790191769,0.0383362021750849,0.0190151384090383,185,58,Mar-May_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2015-05-20,5,2015,True,79.52,79.52,LANDSAT/LC08/C02/T1_L2,140,LANDSAT/LC08/C02/T1_L2/LC08_185057_20150520,2015,True,False,LC08_L2SP_185057_20150520_20200909_02_T1,LC81850572015140LGN01,0,LC08,primary,False,LC08_185057_20150520,34716370.29037799,21522757.849600516,0.0438499947546264,0.0742858285167526,185,57,Mar-May_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2015-05-20,5,2015,True,60.54,60.54,LANDSAT/LC08/C02/T1_L2,140,LANDSAT/LC08/C02/T1_L2/LC08_185058_20150520,2015,True,False,LC08_L2SP_185058_20150520_20200909_02_T1,LC81850582015140LGN01,0,LC08,primary,False,LC08_185058_20150520,18684327.43527928,10406220.319681324,0.0236000380563344,0.0359170838410813,185,58,Mar-May_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2015-05-28,5,2015,True,73.0,73.0,LANDSAT/LE07/C02/T1_L2,148,LANDSAT/LE07/C02/T1_L2/LE07_185057_20150528,2015,True,False,LE07_L2SP_185057_20150528_20200904_02_T1,LE71850572015148ASN00,0,LE07,supplemental,True,LE07_185057_20150528,86130627.01525353,38993389.05406254,0.1087909683887184,0.1345857363075277,185,57,Mar-May_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2019-12-09,12,2019,True,20.24,20.24,LANDSAT/LC08/C02/T1_L2,343,LANDSAT/LC08/C02/T1_L2/LC08_185057_20191209,2020,True,False,LC08_L2SP_185057_20191209_20200824_02_T1,LC81850572019343LGN00,-1,LC08,primary,False,LC08_185057_20191209,613639562.647276,232155113.3879397,0.7750836673951541,0.8012836952836808,185,57,Dec-Feb_3m,primary_only,PASS_SHORTEST_ACCEPTABLE
2019-12-09,12,2019,True,34.28,34.28,LANDSAT/LC08/C02/T1_L2,343,LANDSAT/LC08/C02/T1_L2/LC08_185058_20191209,2020,True,False,LC08_L2SP_185058_20191209_20200824_02_T1,LC81850582019343LGN00,-1,LC08,primary,False,LC08_185058_20191209,326663605.4105911,105909141.25371,0.4126064235393842,0.3655455476713297,185,58,Dec-Feb_3m,primary_only,PASS_SHORTEST_ACCEPTABLE
2019-12-25,12,2019,True,19.97,19.97,LANDSAT/LC08/C02/T1_L2,359,LANDSAT/LC08/C02/T1_L2/LC08_185057_20191225,2020,True,False,LC08_L2SP_185057_20191225_20200824_02_T1,LC81850572019359LGN00,-1,LC08,primary,False,LC08_185057_20191225,352546331.14373946,142777385.12629732,0.4452987061179162,0.4927963424426732,185,57,Dec-Feb_3m,primary_only,PASS_SHORTEST_ACCEPTABLE
