epoch,acquisition_month,sensor_key,scene_count,positive_core_scene_count,median_valid_fraction_core,maximum_valid_fraction_core,median_valid_fraction_context,median_cloud_cover_scene_pct
2015,12,LE07,11,9,0.0741055956403415,0.7570089969168675,0.0841208616019824,42.0
2020,1,LC08,11,10,0.3454191422919914,0.998841787843124,0.3763931823859598,42.91
2020,2,LC08,10,7,0.3288441369098948,0.9709303200176734,0.2932133482618659,46.19
2020,3,LC08,10,8,0.1547939024497733,0.7185351346708913,0.1115524731866123,66.08
2020,4,LC08,8,3,0.0,0.5591149091426342,0.0,77.67
2020,5,LC08,10,7,0.0614114865296167,0.266964500090358,0.0341889200312355,66.565
2020,6,LC08,2,1,0.0600521404725445,0.1201042809450891,0.0757210347099711,85.27000000000001
2020,7,LC08,1,1,0.0002296300269128,0.0002296300269128,0.0001794048276386,64.52
2020,8,LC08,1,1,0.3117414819336662,0.3117414819336662,0.3298080787745802,69.1
2020,9,LC08,6,4,0.0844054998801407,0.6222617233721421,0.1263427537585936,83.365
2020,10,LC08,7,7,0.281116451614299,0.8827579698374267,0.2383544203308711,78.16
2020,11,LC08,8,5,0.0023640969707054,0.2924739405097051,0.0141940515033735,64.455
2020,12,LC08,10,10,0.3489198647809622,0.8012836952838913,0.3396111783079311,43.48
2020,1,LE07,9,7,0.0881362487577049,0.7627245796008212,0.1651431931614958,51.0
2020,2,LE07,10,4,0.0,0.2708065883109847,0.0,91.5
2020,3,LE07,8,4,7.912734158794012e-05,0.5235902005616756,0.0011094797097264,69.0
2020,4,LE07,12,12,0.0853209640667628,0.7426286600185782,0.1682665898434766,47.0
2020,5,LE07,9,8,0.0890113295329388,0.7291806601454268,0.1706788907025244,63.0
2020,6,LE07,3,2,0.0004126876247877,0.1760866716076878,0.0002225670132954,62.0
2020,7,LE07,3,3,0.008573247584927,0.0353681536967304,0.0358445297370505,80.0
2020,8,LE07,4,1,0.0,0.0245866488561492,0.0,96.5
2020,9,LE07,1,0,0.0,0.0,0.0,67.0
2020,10,LE07,4,3,0.009823473936813,0.038489666788665,0.0147797455690812,70.5
2020,11,LE07,8,6,0.0576410729518519,0.7335723479742694,0.0642624562633175,68.0
2020,12,LE07,7,6,0.0938173432715101,0.7566441987167511,0.1649152232052754,53.0
2025,1,LC08,11,9,0.1995697098742528,0.8956136726837076,0.216970263179735,46.85
2025,2,LC08,10,7,0.2411079854507498,0.998854200824894,0.2353623981916319,42.345
2025,3,LC08,10,6,0.0348898633648286,0.6835895489744053,0.0538213183270177,52.73
2025,4,LC08,6,4,0.2439087585099528,0.6972430741614988,0.2429242897678812,62.455
2025,5,LC08,5,3,0.1962785991340438,0.7393345427932371,0.1851189847784153,60.89
2025,6,LC08,3,2,0.2265190139921592,0.3860788542799668,0.1849455443622457,59.25
2025,8,LC08,1,1,0.0104119851793241,0.0104119851793241,0.0065724249579145,69.29
2025,10,LC08,1,1,0.1114861407207017,0.1114861407207017,0.1248891037133188,75.21
2025,11,LC08,6,4,0.0200782673636172,0.3512004778691,0.0270066272017175,71.86
2025,12,LC08,7,7,0.2496175546665457,0.5696419891008178,0.274024677313304,43.55
2025,1,LC09,9,5,0.1122640241443641,0.888123340997233,0.0479611766409988,75.0
2025,2,LC09,6,3,0.1329266596644296,0.6772911129436356,0.1128526847275479,40.52
2025,3,LC09,7,6,0.3681579252279054,0.879957818655098,0.3550810829109508,58.8
2025,4,LC09,9,6,0.1005779243941857,0.6600389909912651,0.070350464978786,63.14
2025,5,LC09,9,7,0.2280655526851866,0.840719223234683,0.2438924847464652,41.96
2025,6,LC09,4,4,0.4911436715663468,0.812897413430821,0.4721938012366322,55.275
2025,8,LC09,2,2,0.0252004641555127,0.0501744141099238,0.0253271555425873,70.1
2025,9,LC09,2,1,0.019950736223583,0.039901472447166,0.0274793005008875,71.13499999999999
2025,10,LC09,4,2,0.022082664142164,0.0916867196770681,0.0415086723610428,73.41999999999999
2025,11,LC09,4,4,0.6227761454372069,0.9939280562599422,0.6541665999388446,6.215
2025,12,LC09,7,7,0.2961469863420814,0.7286036358444906,0.2971170996196144,43.97
2025,1,LE07,4,1,0.0,0.2036311664801989,5.44973710009e-05,57.5
